linha,cod_protheus,descricao,status,http_status,mensagem,created_id
176,SOL003,SOLTAR BOJO DA TROCA (30 MINUTOS),CREATED,201,,cb7b341acd3f4df18ef67e45e
177,SOL004,SOLTURA DOS PARAFUSOS DA CARCAÇA,CREATED,201,,a9f459315d4a4092be56440a7
178,SUB001,SUBSTITUIR ELEMENTO SEPARADOR DE OLEO,CREATED,201,,e9bd7b95794541cbbac766f9c
179,SUB002,SUBSTITUIR FILTRO DE AR,CREATED,201,,da028dbc350f49978f043382e
180,SUB003,SUBSTITUIR GRAXA DO(S) MANCAL(IS),CREATED,201,,1743fad2550c43e0b95e055fc
181,SUB004,SUBSTITUIR O FILTRO DE ÓLEO,CREATED,201,,68b5ed5f156349beb075f92da
182,SUB005,SUBSTITUIR ÓLEO,CREATED,201,,528b7583ce154c78989bcd1b6
183,SUB006,SUBSTITUIR ROLETES COM DEFEITO,CREATED,201,,63ff1058d12245989181f7eea
184,SUB007,SUBSTITUIR VEDACOES DOS MANCAIS,CREATED,201,,baad2bf74d8242228d50f0771
185,TES001,TESTAR FUNCIONAMENTO DA VÁLVULA DE SEGURANÇA DO RESERVATÓRIO DO SEPARADOR,CREATED,201,,666487deb20b4718a61563293
186,TES002,TESTAR FUNCIONAMENTO E LIBERAR PARA OPERACAO,CREATED,201,,4ef0ededb8474c13a825d6c3b
187,TRO001,TROCAR VEDACAO DOS MANCAIS SE NECESSARIO,CREATED,201,,83c12ba8996d4ac1982210d97
188,UTI001,UTILIZAR EPI'S DE ACORDO COM A NECESSIDADE DA TAREFA REALIZADA,CREATED,201,,4c7bd2b9203d446d9536484a7
189,VER001,VERIFICAÇÃO DE ENERGIA NOS PONTOS DE TOMADAS,CREATED,201,,5dad0049fedd428a89728c7b9
